price,qty,side,timestamp_utc,symbol
76832.07,0.04112,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.01,0.01933,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.0,0.19358,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76831.82,0.02966,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76831.6,8e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76831.52,0.39081,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76831.37,0.004,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76831.2,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76831.08,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76830.93,0.35173,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76830.88,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76830.4,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76830.32,0.00246,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76830.28,0.0013,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76830.0,0.18701,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76829.98,0.013,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76829.69,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76829.51,0.15782,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76829.44,0.004,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76829.28,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76829.1,0.0001,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76829.06,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76828.95,8e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76828.81,0.028,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76828.72,0.028,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76828.71,0.026,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
